Predict_proba0,Predict_proba1,Predict,Real
0.9777654061504107,0.022234593849589274,0,0
0.0010665351528365008,0.9989334648471635,1,1
0.9798720921865351,0.020127907813464855,0,0
0.8811397320182248,0.11886026798177521,0,0
0.979845405788997,0.02015459421100298,0,0
0.27673623844603423,0.7232637615539658,1,1
0.9851804868747001,0.014819513125299905,0,0
0.46294789302739714,0.5370521069726029,1,1
0.9992764626798722,0.0007235373201277359,0,0
0.01200851532652214,0.9879914846734779,1,1
0.9688842159920398,0.0311157840079602,0,0
0.13170988378775728,0.8682901162122427,1,1
0.0035976677159882398,0.9964023322840118,1,1
0.9396030277460583,0.060396972253941666,0,0
0.07217199320183443,0.9278280067981656,1,1
0.9839082688373088,0.016091731162691286,0,0
0.02894813088856274,0.9710518691114373,1,1
0.9041129981391246,0.09588700186087544,0,0
0.9692688279691878,0.03073117203081219,0,0
0.9920828711621668,0.007917128837833196,0,0
0.07850017208936355,0.9214998279106364,1,1
0.9901798166492679,0.009820183350732065,0,0
0.933088912830858,0.06691108716914193,0,0
0.9221219634843492,0.07787803651565083,0,0
0.042832917319413744,0.9571670826805863,1,1
0.7659541280489859,0.23404587195101414,0,0
0.0020203979604834776,0.9979796020395165,1,1
0.9757391968027085,0.024260803197291504,0,0
0.757423607191259,0.242576392808741,0,0
0.8492590329701617,0.1507409670298383,0,0
0.9661280979646666,0.033871902035333454,0,0
0.9973088732754027,0.002691126724597204,0,0
0.8746162327557514,0.12538376724424855,0,0
0.9844586326527485,0.015541367347251573,0,0
0.9917532484392529,0.008246751560747044,0,0
0.008964808409743896,0.9910351915902561,1,1
0.9952569827441973,0.004743017255802708,0,0
0.962950437587002,0.037049562412997915,0,0
0.09596948290511353,0.9040305170948865,1,1
0.008459682772740229,0.9915403172272598,1,1
0.16555108052330936,0.8344489194766906,1,1
0.3917808453353624,0.6082191546646376,1,1
0.981580894229369,0.01841910577063101,0,0
0.9938093933385681,0.0061906066614318645,0,0
0.0746651475685488,0.9253348524314512,1,1
0.032129331090990365,0.9678706689090096,1,1
0.00494744895750443,0.9950525510424956,1,1
0.011923783676814681,0.9880762163231853,1,1
0.017053041899953603,0.9829469581000464,1,1
0.8441248386822618,0.15587516131773818,0,0
0.9655557845264214,0.034444215473578614,0,0
0.002363897593911868,0.9976361024060881,1,1
0.0472388986645188,0.9527611013354812,1,1
0.8053978921620515,0.1946021078379485,0,0
0.7787063844643056,0.22129361553569443,0,0
0.07568639828246104,0.924313601717539,1,1
0.9597288988729721,0.040271101127027926,0,0
0.9943368168937305,0.005663183106269474,0,0
0.04897844186808942,0.9510215581319106,1,1
0.9765839967513162,0.023416003248683728,0,0
0.32806851359613043,0.6719314864038696,1,1
0.10361249308636156,0.8963875069136384,1,1
0.9806810993184153,0.01931890068158469,0,0
0.8987384434311568,0.1012615565688432,0,0
0.8386662921404664,0.16133370785953358,0,0
0.3725276725655876,0.6274723274344124,1,1
0.27915629527705843,0.7208437047229416,1,1
0.11326680670237088,0.8867331932976291,1,1
0.11492267679494728,0.8850773232050527,1,1
0.00046120002014959915,0.9995387999798504,1,1
0.012322397711452493,0.9876776022885475,1,1
0.19684883392240837,0.8031511660775916,1,1
0.004050612066449966,0.99594938793355,1,1
0.005157136784671668,0.9948428632153283,1,1
0.9691159183359015,0.030884081664098558,0,0
0.8952044312388557,0.10479556876114429,0,0
0.001494834008856083,0.9985051659911439,1,1
0.12410260862798472,0.8758973913720153,1,1
0.04580416458560421,0.9541958354143958,1,1
0.068891498363296,0.931108501636704,1,1
0.09339170503401484,0.9066082949659852,1,1
0.003111825809677171,0.9968881741903228,1,1
0.01645118368784182,0.9835488163121582,1,1
0.0031427117212994293,0.9968572882787006,1,1
0.017466438785823213,0.9825335612141768,1,1
0.1937511123018404,0.8062488876981596,1,1
0.029993081909577834,0.9700069180904222,1,1
0.04813962137596928,0.9518603786240307,1,1
0.11569467917911735,0.8843053208208826,1,1
0.9974914404705055,0.0025085595294944618,0,0
0.0005241853979819355,0.9994758146020181,1,1
0.024535407604429627,0.9754645923955704,1,1
0.07900771289453712,0.9209922871054629,1,1
0.007104566894965858,0.9928954331050341,1,1
0.04967918722578457,0.9503208127742154,1,1
0.008234469409125533,0.9917655305908745,1,1
0.0020081926636101866,0.9979918073363898,1,1
0.0028668197217119884,0.997133180278288,1,1
0.0038495161086101737,0.9961504838913898,1,1
0.02811549303697669,0.9718845069630233,1,1
0.00345455073382428,0.9965454492661757,1,1
0.012863946938455162,0.9871360530615448,1,1
0.0013492895578895991,0.9986507104421104,1,1
0.005802649494063727,0.9941973505059363,1,1
0.0008166474194474249,0.9991833525805526,1,1
0.002740121776714677,0.9972598782232853,1,1
0.16422027094021097,0.835779729059789,1,1
0.9463308105238024,0.0536691894761976,0,0
0.03192859485137256,0.9680714051486274,1,1
0.8350547066374236,0.16494529336257638,0,0
6.412082887974346e-05,0.9999358791711203,1,1
0.014097241445641284,0.9859027585543587,1,1
0.022186619527848395,0.9778133804721516,1,1
